_id,Nr_Boczny,Nr_Rej,Brygada,Nazwa_Linii,Ostatnia_Pozycja_Szerokosc,Ostatnia_Pozycja_Dlugosc,Data_Aktualizacji
1,0,None,None,None,51.1242599487305,17.041259765625,2024-12-04 07:34:50.567000
2,1,None,None,None,53.145753,18.004478,2024-06-03 14:16:59.337000
3,-1,None,None,None,0.0,0.0,2024-11-05 07:35:17.623000
4,1900,None,12412,,51.1153717041016,16.9583396911621,2024-12-09 12:04:53.730000
5,2206,None,01410,14,51.1347923278809,17.0089435577393,2024-12-09 17:08:05.583000
6,2208,None,,,51.124698638916,17.038293838501,2024-12-08 12:58:56.583000
7,2212,None,,,51.1244201660156,17.0411739349365,2024-12-08 12:58:44.540000
8,2218,None,01312,13,51.1153335571289,16.9475383758545,2024-12-09 17:08:11.810000
9,2228,None,02010,20,51.0865936279297,17.0115394592285,2024-12-09 17:08:16.730000
10,2237,None,01150,78,51.1023712158203,17.0368061065674,2024-12-09 17:08:14.703000
11,2238,None,None,None,51.1238594055176,17.0406036376953,2023-04-30 02:21:09.067000
12,2239,None,01601,16,51.0835838317871,17.0611839294434,2024-12-09 17:08:11.633000
13,2240,None,01014,2,51.1115493774414,17.0592823028564,2024-12-09 17:08:05.947000
14,2242,None,01151,11,51.101146697998,17.0080471038818,2024-12-09 17:08:16.523000
15,2252,None,01001,2,51.0824356079102,17.009485244751,2024-12-09 17:08:04.003000
16,2258,None,,,51.1242294311523,17.040885925293,2024-12-09 17:08:05.550000
17,2260,None,,,51.124813079834,17.0412940979004,2024-12-08 12:58:31.617000
18,2263,None,,,51.1244125366211,17.0411624908447,2024-12-08 12:58:37.520000
19,2264,None,01041,10,51.113639831543,17.0502796173096,2024-12-09 17:08:16.863000
20,2266,None,01504,15,51.123664855957,17.0298328399658,2024-12-09 17:08:16.537000
21,2268,None,,,51.1241416931152,17.0404644012451,2024-10-30 19:28:55.603000
22,2272,None,,,51.1245002746582,17.0408172607422,2024-12-09 17:07:46.780000
23,2274,None,,,51.1245079040527,17.0408058166504,2024-12-09 17:07:23.913000
24,2276,None,,,51.1250190734863,17.0409450531006,2024-12-09 17:07:25.540000
25,2278,None,,,51.1254272460938,17.0414524078369,2024-12-08 12:58:18.593000
26,2286,None,,,51.1237869262695,17.0401954650879,2023-08-13 03:59:13.700000
27,2288,None,00621,78,51.0926933288574,17.0390071868896,2024-12-09 17:08:14.680000
28,2290,None,00421,4,51.0948791503906,16.9816989898682,2024-12-09 17:08:08.870000
29,2298,None,,,51.1238861083984,17.0407276153564,2024-11-24 12:04:28.777000
30,2304,None,01144,6,51.0746002197266,17.0071430206299,2024-12-09 17:07:41.837000
31,2306,None,00701,7,51.0838661193848,17.0103607177734,2024-12-09 17:08:16.583000
32,2308,None,,,51.125129699707,17.0408515930176,2024-12-08 12:58:31.577000
33,2310,None,00301,3,51.1401214599609,16.9181842803955,2024-12-09 17:08:05.673000
34,2312,None,00504,5,51.1071281433105,17.0437812805176,2024-12-09 17:08:11.677000
35,2314,None,01710,,51.1241149902344,17.0409889221191,2024-12-09 17:08:03.777000
36,2316,None,,,51.1242408752441,17.0405292510986,2022-06-23 21:32:15.773000
37,2320,None,,,51.1254692077637,17.0416641235352,2024-12-08 12:58:25.587000
38,2322,None,,,51.1244735717773,17.0404891967773,2024-12-08 12:58:25.523000
39,2324,None,01301,,51.1196899414062,16.9528961181641,2024-12-09 17:08:16.697000
40,2329,None,00208,6,51.1136589050293,17.0360450744629,2024-12-09 17:08:16.613000
41,2334,None,01706,12,51.1139183044434,17.1032028198242,2024-12-09 17:08:16.913000
42,2338,None,,,51.1254119873047,17.0409164428711,2024-12-08 12:59:02.660000
43,2342,None,01201,15,51.0875053405762,17.0275115966797,2024-12-09 17:08:11.787000
44,2344,None,00L03,,51.1247482299805,17.0402240753174,2024-12-09 17:07:49.827000
45,2347,None,,,51.1264114379883,16.9833221435547,2024-10-19 18:26:13.763000
46,2350,None,00423,78,51.1087799072266,17.0678863525391,2024-12-09 17:08:03.557000
47,2352,None,00429,11,51.1323204040527,17.0660991668701,2024-12-09 17:08:11.733000
48,2358,None,,,51.1248016357422,17.0415191650391,2024-12-08 12:58:18.573000
49,2364,None,00427,11,51.0965423583984,16.9877490997314,2024-12-09 17:07:57.533000
50,2366,None,00625,6,51.1135406494141,17.0321025848389,2024-12-09 17:08:08.590000
51,2380,None,,,51.1238784790039,17.0406932830811,2022-11-22 14:39:33.647000
52,2382,None,00443,78,51.0831413269043,17.0548133850098,2024-12-09 17:08:16.597000
53,2386,None,00620,78,51.0849533081055,17.0485496520996,2024-12-09 17:08:11.577000
54,2394,None,,,51.1241264343262,17.0409317016602,2024-12-08 12:58:44.523000
55,2400,None,01209,7,51.1443634033203,17.0311698913574,2024-12-09 17:08:16.947000
56,2401,None,,,51.1244010925293,17.0408744812012,2023-01-03 06:47:42.710000
57,2408,None,None,None,51.1239852905273,17.0411243438721,2024-07-25 13:25:21.823000
58,2416,None,,,51.1247482299805,17.0380859375,2024-12-08 12:58:37.540000
59,2420,None,,,51.0782051086426,17.0069408416748,2024-12-09 17:07:23.747000
60,2426,None,,,51.1253204345703,17.0406494140625,2024-12-08 12:58:44.560000
61,2430,None,00902,9,51.0727462768555,17.0144462585449,2024-12-09 17:08:16.767000
62,2434,None,,,51.1243896484375,17.0404605865479,2024-12-08 12:58:37.560000
63,2442,None,,999,51.1247634887695,17.0414657592773,2024-12-09 17:08:16.753000
64,2446,None,01611,16,51.1227416992188,17.0506858825684,2024-12-09 17:08:08.600000
65,2448,None,00000,,51.1241188049316,17.0404586791992,2024-12-09 17:07:44.793000
66,2450,None,01609,16,51.1502571105957,17.0287704467773,2024-12-09 17:08:14.750000
