Nr filii;Adres;Telefon;E-mail
1;ul. Sztabowa 98;347 12 70;mpb01@biblioteka.wroc.pl
2;ul. Eluarda 51 - 55;354 72 71;mpb02@biblioteka.wroc.pl
3;ul. Morelowskiego 43;347 12 78;mpb03@biblioteka.wroc.pl
4;ul. Wieczysta 105;364 69 70;mpb04@biblioteka.wroc.pl
5;ul. Namysłowska 8;780 68 64;mpb05@biblioteka.wroc.pl
6;ul. Lwowska 21;364 69 65;mpb06@biblioteka.wroc.pl
7;ul. Suwalska 11;798 64 98;mpb07@biblioteka.wroc.pl
8;ul. Głogowska 9-11 ;354 72 69;mpb08@biblioteka.wroc.pl
9;ul. Wielkopolska 16;354 72 72;mpb09@biblioteka.wroc.pl
10;ul. Jelenia 7;354 72 70;mpb10@biblioteka.wroc.pl
11;ul. B. Krzywoustego 286;777 99 44 w.1;mpb11@biblioteka.wroc.pl
12;ul. Piłsudskiego 105;347 12 63;mpb12@biblioteka.wroc.pl
13;Plac Teatralny 5;347 12 71;przejscie@biblioteka.wroc.pl
14;ul. Grapowa 1;798 847 351;mpb14@biblioteka.wroc.pl
15;ul. Tymiankowa 3;354 72 66;mpb15@biblioteka.wroc.pl
16;ul. Kolista 17;354 72 75;mpb16@biblioteka.wroc.pl
17;ul. Gałczyńskiego 8;368 74 02;mpb17@biblioteka.wroc.pl
18;ul. Grabiszyńska 236 a;364 69 62;mpb18@biblioteka.wroc.pl
20;ul. Majakowskiego 34 / 1a;354 72 60;mpb20@biblioteka.wroc.pl
22;ul. Chociebuska 8 -10;354 72 67;mpb22@biblioteka.wroc.pl
23;bulwar Ikara 29 -31;354 72 64;mpb23@biblioteka.wroc.pl
26;ul. Olszewskiego 85 a;347 12 73 ;mpb26@biblioteka.wroc.pl
27;ul. W. Łokietka 13;326 60 62;mpb27@biblioteka.wroc.pl
29;ul. Reja 1 - 3;326 60 63;mpb29@biblioteka.wroc.pl
31;ul. Strachocińska 88;347 12 72;mpb31@biblioteka.wroc.pl
32;ul. 8 Maja 26 ;347 12 74;mpb32@biblioteka.wroc.pl
37;ul. Sempołowskiej 54 a;347 12 77 ;mpb37@biblioteka.wroc.pl
40;ul. Przybyszewskiego 59;325 58 25;mpb40@biblioteka.wroc.pl
41;ul. Sołtysowicka 48;326 60 68;
42;ul. Serbska 5a ;326 60 72;mpb42@biblioteka.wroc.pl
44;ul. Powstańców Śl. 210;347 12 60;mpb44@biblioteka.wroc.pl
45;ul. Traugutta 82 ;347 12 81;mpb45@biblioteka.wroc.pl
46;ul. Tarnogórska 1;347 12 80;mpb46@biblioteka.wroc.pl
47;ul. Polna 4;347 12 61 ;mpb47@biblioteka.wroc.pl
54;ul. Jesienna 22 ;364 69 61 ;mpb54@biblioteka.wroc.pl
55;ul. Zielińskiego 2;347 12 65 ;mpb55@biblioteka.wroc.pl
57;ul. Szewska 78 ;347 12 67 ;mpb57@biblioteka.wroc.pl
58;pl. Teatralny 5;347 12 68 ;mpb58@biblioteka.wroc.pl
63;pl. Wyzwolenia 4;326 60 71;mpb63@biblioteka.wroc.pl
punkt biblioteczny;ul. Chopina 9a ;347 12 75;mbp71@biblioteka.wroc.pl
MultiCentrum 2;ul. Powstańców Śl. 210;364 69 66;multicentrum2@biblioteka.wroc.pl
"Centrum Biblioteczno-Kulturalne  ""Fama""";ul. B. Krzywoustego 286;777 99 44 w. 2;biuro@fama.wroc.pl
