Title;Year;Genre;Award Amount;Box Office;Budget;Time (mins);Reviews;Number of Reviews
Zielona mila;1999; Dramat ;30;286801374;60000000;188;[0.6, 0.2, 0.5, 0.8, 2.0, 3.0, 9.0, 23.0, 29.0, 32.0];1017686
Skazani na Shawshank;1994; Dramat ;30;28884504;25000000;142;[0.6, 0.3, 0.4, 0.7, 1.0, 2.0, 7.0, 20.0, 30.0, 38.0];942435
Forrest Gump;1994; Dramat ;68;678226465;55000000;142;[0.6, 0.3, 0.6, 0.9, 2.0, 4.0, 10.0, 24.0, 28.0, 31.0];1009592
Leon zawodowiec;1994; Dramat ;9;19569225;16000000;110;[0.7, 0.3, 0.7, 1.0, 3.0, 6.0, 15.0, 29.0, 24.0, 20.0];844224
Requiem dla snu;2000; Dramat ;31;7390108;4500000;102;[1.0, 0.7, 2.0, 2.0, 4.0, 7.0, 16.0, 27.0, 21.0, 18.0];682470
Matrix;1999; Akcja ;41;467222728;63000000;136;[2.0, 0.9, 2.0, 3.0, 5.0, 9.0, 18.0, 26.0, 17.0, 17.0];843868
Milczenie owiec;1991; Thriller ;59;272742922;19000000;118;[0.8, 0.4, 0.6, 1.0, 2.0, 4.0, 13.0, 31.0, 27.0, 20.0];696237
Gladiator;2000; Dramat historyczny ;92;465516248;103000000;155;[0.8, 0.5, 1.0, 2.0, 3.0, 6.0, 14.0, 27.0, 23.0, 23.0];783033
Avatar;2009; Sci-Fi ;83;2923706026;237000000;162;[2.0, 1.0, 3.0, 4.0, 7.0, 12.0, 20.0, 23.0, 15.0, 15.0];805558
Pulp Fiction;1994; Gangsterski ;73;213928762;8000000;154;[1.0, 0.5, 0.9, 1.0, 3.0, 4.0, 11.0, 24.0, 27.0, 28.0];689997
Shrek;2001; Animacja ;58;488351320;60000000;90;[0.8, 0.4, 1.0, 2.0, 4.0, 8.0, 19.0, 31.0, 18.0, 16.0];839318
Podziemny krąg;1999; Thriller ;0;101209702;63000000;139;[0.6, 0.3, 0.7, 1.0, 3.0, 5.0, 12.0, 27.0, 28.0, 22.0];636774
Szeregowiec Ryan;1998; Wojenny ;86;482349603;70000000;170;[0.7, 0.4, 0.7, 1.0, 3.0, 6.0, 15.0, 30.0, 24.0, 19.0];655587
Nietykalni;2011; Biograficzny ;35;426588510;10800000;112;[0.3, 0.1, 0.2, 0.4, 1.0, 3.0, 9.0, 25.0, 35.0, 26.0];693265
Titanic;1997; Melodramat ;102;2264743305;200000000;194;[2.0, 1.0, 2.0, 4.0, 7.0, 12.0, 21.0, 23.0, 13.0, 15.0];786539
Ojciec chrzestny;1972; Dramat ;44;250341816;6000000;175;[0.8, 0.3, 0.6, 0.8, 2.0, 3.0, 9.0, 22.0, 27.0, 35.0];558662
Incepcja;2010; Surrealistyczny ;115;837186610;160000000;148;[0.2, 0.2, 0.5, 0.7, 2.0, 5.0, 14.0, 31.0, 29.0, 17.0];634407
Wyspa tajemnic;2010; Dramat ;19;294805697;80000000;138;[0.2, 0.2, 0.5, 0.8, 2.0, 5.0, 15.0, 33.0, 29.0, 15.0];598847
Siedem;1995; Kryminał ;26;327333559;33000000;127;[0.3, 0.1, 0.3, 0.5, 1.0, 4.0, 14.0, 33.0, 30.0, 17.0];622975
Szósty zmysł;1999; Thriller ;53;672806432;40000000;107;[0.7, 0.4, 0.8, 2.0, 4.0, 8.0, 20.0, 33.0, 19.0, 13.0];632421
Pianista;2002; Biograficzny ;75;120098945;35000000;150;[0.4, 0.2, 0.4, 0.7, 2.0, 4.0, 14.0, 33.0, 28.0, 17.0];607489
Władca Pierścieni: Drużyna Pierścienia;2001; Fantasy ;120;887184080;93000000;178;[2.0, 0.7, 1.0, 2.0, 3.0, 6.0, 14.0, 26.0, 21.0, 24.0];732145
Piraci z Karaibów: Klątwa Czarnej Perły;2003; Fantasy ;62;654264015;140000000;143;[0.9, 0.5, 1.0, 2.0, 4.0, 9.0, 21.0, 31.0, 17.0, 15.0];736638
Kac Vegas;2009; Komedia ;21;469310836;35000000;100;[2.0, 1.0, 2.0, 3.0, 6.0, 12.0, 23.0, 26.0, 13.0, 11.0];732783
Bękarty wojny;2009; Wojenny ;87;321458605;70000000;153;[0.7, 0.5, 1.0, 1.0, 3.0, 6.0, 16.0, 31.0, 26.0, 15.0];604372
Siedem dusz;2008; Dramat ;0;169748929;55000000;123;[0.4, 0.4, 1.0, 2.0, 3.0, 7.0, 18.0, 30.0, 22.0, 16.0];487758
Lista Schindlera;1993; Dramat ;72;322161245;22000000;195;[0.5, 0.2, 0.4, 0.6, 2.0, 4.0, 12.0, 30.0, 29.0, 22.0];371847
Piękny umysł;2001; Biograficzny ;60;316791257;58000000;135;[0.2, 0.1, 0.3, 0.6, 2.0, 4.0, 15.0, 35.0, 28.0, 16.0];508112
Cast Away - poza światem;2000; Dramat ;18;429632142;90000000;143;[0.6, 0.4, 1.0, 2.0, 5.0, 11.0, 24.0, 32.0, 15.0, 9.0];589130
